abv,ibu,id,name,style,brewery_id,ounces
0.065,65.0,754,Dale's Pale Ale (2010),American Pale Ale (APA),166,12.0
0.087,85.0,726,G'KNIGHT (16 oz.),American Double / Imperial IPA,166,16.0
0.09,,720,15th Anniversary Abbey Ale (2012),Belgian Dark Ale,166,16.0
0.08,,661,Chaka,Belgian Strong Pale Ale,166,16.0
0.08,70.0,585,HGH (Home Grown Hops): Part Duh,American Strong Ale,166,12.0
0.08,,565,Deviant Dale's IPA,American Double / Imperial IPA,166,16.0
0.09,60.0,391,One Hit Wonder,American Double / Imperial IPA,166,12.0
0.087,85.0,388,G'KNIGHT (12 oz.),American Double / Imperial IPA,166,12.0
0.099,98.0,8,Ten Fidy Imperial Stout,Russian Imperial Stout,166,12.0
0.053,35.0,7,Mama's Little Yella Pils,Czech Pilsener,166,12.0
0.099,100.0,6,GUBNA Imperial IPA,American Double / Imperial IPA,166,12.0
0.08,35.0,5,Old Chub,Scottish Ale,166,12.0
0.087,85.0,4,Gordon Ale (2009),American Double / Imperial IPA,166,12.0
0.065,65.0,1,Dale's Pale Ale,American Pale Ale (APA),166,12.0
0.092,85.0,805,Gordon (2005),American Double / Imperial IPA,503,12.0
0.095,98.0,804,Ten Fidy Imperial Stout (2008),Russian Imperial Stout,503,12.0
0.099,98.0,803,Ten Fidy Imperial Stout (2007),Russian Imperial Stout,503,12.0
0.08,35.0,787,Old Chub (2008),Scottish Ale,503,12.0
0.08,35.0,786,Old Chub (2004),Scottish Ale,503,12.0
0.08,35.0,785,Old Chub (2003),Scottish Ale,503,12.0
0.065,65.0,745,Dale's Pale Ale (2008),American Pale Ale (APA),503,12.0
0.065,65.0,744,Dale's Pale Ale (2006),American Pale Ale (APA),503,12.0
0.065,65.0,743,Dale's Pale Ale (2004),American Pale Ale (APA),503,12.0
0.065,65.0,742,Dale's Pale Ale (2003),American Pale Ale (APA),503,12.0
0.065,65.0,741,Dale's Pale Ale (2002),American Pale Ale (APA),503,12.0
0.052,,734,Leroy (2005),American Brown Ale,503,12.0
0.087,60.0,733,Gordon Beer (2006),American Double / Imperial IPA,503,12.0
0.087,85.0,1533,G'KNIGHT,American Double / Imperial IPA,389,12.0
0.099,98.0,1532,Ten Fidy,Russian Imperial Stout,389,12.0
0.08,85.0,1328,Deviant Dale's IPA,American Double / Imperial IPA,389,16.0
0.08,35.0,1175,Old Chub,Scottish Ale,389,12.0
0.065,65.0,1166,Dale's Pale Ale,American Pale Ale (APA),389,19.2
0.065,65.0,1065,Dale's Pale Ale,American Pale Ale (APA),389,12.0
0.055,45.0,1908,Fresh Slice White IPA,American White IPA,275,12.0
0.055,55.0,1946,Overgrown American Pale Ale,American Pale Ale (APA),261,12.0
0.04,39.0,1961,Ozark American Pale Ale,American Pale Ale (APA),259,12.0
0.048,,1684,Hula Hoppie Session IPA,American IPA,341,12.0
0.053,,927,Dirty Hippie Dark Wheat,American Dark Wheat Ale,341,12.0
0.052,23.0,1268,Rustic Red,Irish Red Ale,441,16.0
0.053,48.0,697,Stimulator Pale Ale,American Pale Ale (APA),441,16.0
0.045,22.0,696,Old Town Ale,Kölsch,441,16.0
0.044,28.0,695,Car 21,English Bitter,441,16.0
0.05,24.0,694,Cache La Porter,American Porter,441,16.0
0.042,35.0,1805,Rodeo Rye Pale Ale,American Pale Ale (APA),307,12.0
0.062,65.0,1048,Outlaw IPA,American IPA,307,12.0
0.044,,1043,North Fork Lager,American Pale Lager,307,12.0
0.048,35.0,890,Payette Pale Ale,American Pale Ale (APA),307,12.0
0.055,25.0,775,Mutton Buster,American Brown Ale,307,12.0
0.05,,1087,Side Kick Kölsch,Kölsch,468,12.0
0.046,,1931,Fresh Cut Pilsner,American Pilsner,266,12.0
0.05,61.0,1930,Summer Session Ale,American Pale Wheat Ale,266,12.0
0.04,12.0,2238,Lobo Lito,Light Lager,187,12.0
0.05,17.0,2144,Robert Earl Keen Honey Pils,American Pilsner,187,12.0
0.065,77.0,2175,Mound Builder IPA,American IPA,205,12.0
0.062,62.0,2168,Amazon Princess IPA,American IPA,205,12.0
0.042,,1956,Farmer's Daughter Wheat,American Pale Wheat Ale,205,12.0
0.045,,1794,People's Pilsner,German Pilsener,205,12.0
0.055,10.0,2633,Hotbox Brown,American Brown Ale,13,12.0
0.048,15.0,2632,Gold,American Blonde Ale,13,12.0
0.0579999999999999,,2631,Black,American Black Ale,13,12.0
0.065,65.0,2630,98 Problems (Cuz A Hop Ain't One),American IPA,13,12.0
0.05,40.0,2629,Veteran’s Pale Ale (VPA),American Pale Ale (APA),13,12.0
0.05,35.0,2628,Grapefruit IPA,American IPA,13,12.0
0.051,,1062,Pete's ESP Lager (1998),American Pale Lager,470,12.0
0.047,,1061,Pete's Wicked Summer Brew (1995),American Pale Wheat Ale,470,12.0
0.049,,1060,Pete's Wicked Bohemian Pilsner (1997),Czech Pilsener,470,12.0
,,1056,Pete's Wicked Pale Ale (1997),American Pale Ale (APA),470,12.0
0.047,,1055,Pete's Wicked Summer Brew (2002),American Pale Wheat Ale,470,12.0
0.047,,1054,Pete's Wicked Summer Brew (1997),American Pale Wheat Ale,470,12.0
0.047,,1053,Pete's Wicked Summer Brew (1996),American Pale Wheat Ale,470,12.0
0.0409999999999999,12.0,2635,Sparkle,American Pale Lager,11,16.0
0.059,25.0,1404,North 45 Amber Ale,American Amber / Red Ale,11,16.0
0.069,20.0,1403,Horny Monk,Dubbel,11,16.0
0.067,74.0,1402,Mind's Eye PA,American IPA,11,16.0
0.061,60.0,2312,Camelback,American IPA,157,12.0
0.0559999999999999,,1636,Local 5 Pale Ale,American Pale Ale (APA),355,16.0
0.073,,1518,Devils Head Red Ale,American Amber / Red Ale,355,16.0
0.07,75.0,1384,Elephant Rock IPA,American IPA,355,12.0
0.05,,1797,Black Bay Milk Stout,Milk / Sweet Stout,310,12.0
0.05,,1437,Atom Splitter Pale Ale,American Pale Ale (APA),310,12.0
0.06,20.0,1791,Hot Date Ale,Chile Beer,314,16.0
0.07,,1540,Masked Bandit IPA,American Black Ale,314,16.0
0.06,24.0,1491,Sweet Potato Ale,Fruit / Vegetable Beer,314,16.0
0.045,18.0,1335,Float Trip Ale,American Blonde Ale,314,16.0
0.055,25.0,847,Old Tom Porter,American Porter,314,16.0
0.045,18.0,846,Black Walnut Wheat,American Dark Wheat Ale,314,16.0
0.055,20.0,521,McKinney Eddy Amber Ale,American Amber / Red Ale,314,16.0
0.07,70.0,479,Missouri Mule India Pale Ale,American IPA,314,16.0
0.065,,2559,Blood of the Unicorn,American Amber / Red Ale,52,16.0
0.069,51.0,1760,GreyBeard™ IPA,American IPA,324,12.0
0.057,31.0,1759,Pisgah Pale Ale,American Pale Ale (APA),324,12.0
0.045,,1589,PONTO S.I.P.A.,American IPA,370,16.0
0.049,,1457,Chronic Ale,American Amber / Red Ale,370,16.0
0.068,,1191,Swami's India Pale Ale,American IPA,370,16.0
0.05,,2336,New Cleveland Palesner,American Pilsner,147,12.0
0.054,45.0,2553,Mazzie,American Pale Ale (APA),55,12.0
0.099,,1909,Big Chuck Barleywine,American Barleywine,274,12.0
,,335,Ponderosa IPA,American IPA,548,12.0
,,64,Liquid Amber Ale,American Amber / Red Ale,548,12.0
0.059,14.0,2360,Morning Wood Wheat (Current),American Pale Wheat Ale,135,12.0
0.069,17.0,1463,Hideout Helles,Munich Helles Lager,135,12.0
0.06,15.0,1462,Dead Eye Dunkel,Munich Dunkel Lager,135,12.0
0.0579999999999999,21.0,1461,Peacemaker Pilsner,Czech Pilsener,135,12.0
0.057,68.0,711,Over the Rail Pale Ale,American Pale Ale (APA),135,12.0
0.0579999999999999,21.0,188,Pallavicini Pilsner (2009),Czech Pilsener,135,12.0
0.059,14.0,130,Morning Wood Wheat (Current),American Pale Wheat Ale,135,12.0
0.052,18.0,399,Pyramid Hefeweizen (2011),Hefeweizen,544,12.0
0.052,18.0,82,Haywire Hefeweizen (2010),Hefeweizen,544,16.0
0.045,35.0,2031,Golden Fleece,Belgian Pale Ale,246,12.0
0.055,30.0,2030,Smoking Mirror,American Porter,246,12.0
0.046,,2269,Rahr's Blonde,Munich Helles Lager,176,12.0
0.0579999999999999,60.0,2229,Pride of Texas Pale Ale,American Pale Ale (APA),176,12.0
0.044,5.0,2370,18th Anniversary Gose,Gose,128,12.0
0.046,25.0,2211,White (2015),Witbier,128,12.0
0.099,85.0,1861,BLAKKR,American Black Ale,128,12.0
0.051,21.0,1718,Firemans #4 Blonde Ale (2013),American Blonde Ale,128,12.0
0.059,,1290,The Sword Iron Swan Ale,English Pale Ale,128,12.0
0.053,52.0,1091,Hans' Pils (2015),German Pilsener,128,12.0
0.06,50.0,1086,Four Squared (2015),American Blonde Ale,128,12.0
0.051,21.0,830,Firemans #4 Blonde Ale (2015),American Blonde Ale,128,12.0
0.072,55.0,1021,Watership Brown Ale,American Brown Ale,475,12.0
0.062,55.0,938,Gangway IPA,American IPA,475,12.0
0.049,,715,Long Day Lager,Czech Pilsener,475,12.0
0.051,17.0,2516,Farmer's Daughter Blonde,American Blonde Ale,68,16.0
0.055,45.0,2515,Pump House IPA,American IPA,68,16.0
0.07,,2514,Suicide Blonde IPA,Belgian IPA,68,16.0
0.047,25.0,2513,Vanilla Porter,American Porter,68,16.0
